point_index,latitude,longitude,altitude_m,distance_from_prev_m,bearing_deg,slope_deg
354,-26.677168,27.793415,1488.0,18.19,326.89,0.0
355,-26.676802,27.793156,1488.0,48.15,327.69,0.0
356,-26.676482,27.792939,1489.0,41.6,328.79,1.3769
357,-26.673684,27.791042,1487.0,363.76,328.79,-0.315
358,-26.673268,27.79078,1486.0,53.08,330.63,-1.0793
359,-26.672796,27.790515,1487.0,58.72,333.36,0.9757
360,-26.67197,27.790086,1486.0,101.26,335.1,-0.5658
361,-26.671055,27.78965,1484.0,110.58,336.94,-1.0361
362,-26.670562,27.789413,1483.0,59.66,336.75,-0.9602
363,-26.668057,27.788283,1481.0,300.32,338.05,-0.3816
364,-26.666262,27.787457,1480.0,215.81,337.65,-0.2655
365,-26.665151,27.786952,1480.0,133.34,337.89,0.0
366,-26.664518,27.786676,1480.0,75.54,338.71,0.0
367,-26.663841,27.78635,1479.0,81.95,336.72,-0.6991
368,-26.663562,27.786221,1479.0,33.57,337.55,0.0
369,-26.660811,27.784963,1474.0,330.45,337.77,-0.8669
370,-26.659869,27.784528,1475.0,113.31,337.57,0.5056
371,-26.658861,27.78408,1473.0,120.6,338.34,-0.9501
372,-26.657371,27.783395,1470.0,179.12,337.66,-0.9595
373,-26.656705,27.783091,1471.0,79.98,337.81,0.7163
374,-26.6559,27.782713,1469.0,97.07,337.23,-1.1803
375,-26.655161,27.782372,1469.0,88.89,337.59,0.0
376,-26.653197,27.781489,1467.0,235.36,338.11,-0.4869
377,-26.650724,27.780371,1470.0,296.58,338.0,0.5795
378,-26.650593,27.780309,1470.0,15.82,337.07,0.0
379,-26.64985,27.779966,1470.0,89.37,337.58,0.0
380,-26.648274,27.779238,1474.0,189.59,337.57,1.2086
381,-26.646976,27.778648,1475.0,155.79,337.89,0.3678
382,-26.645185,27.777842,1477.0,214.66,338.09,0.5338
383,-26.643015,27.776835,1475.0,261.23,337.47,-0.4387
384,-26.642151,27.776442,1476.0,103.71,337.87,0.5524
385,-26.64089,27.775878,1474.0,151.01,338.21,-0.7588
386,-26.639653,27.775299,1475.0,149.1,337.3,0.3843
387,-26.638682,27.774864,1473.0,116.31,338.18,-0.9852
388,-26.638183,27.77458,1473.0,62.25,333.04,0.0
389,-26.636749,27.773979,1474.0,170.28,339.46,0.3365
390,-26.636246,27.773733,1474.0,61.04,336.39,0.0
391,-26.635448,27.773333,1473.0,97.23,335.86,-0.5892
392,-26.635107,27.773148,1472.0,42.14,334.13,-1.3594
393,-26.63474,27.772912,1471.0,47.07,330.11,-1.2171
394,-26.634347,27.772614,1470.0,52.79,325.87,-1.0852
395,-26.633987,27.772324,1470.0,49.33,324.24,0.0
396,-26.633544,27.771919,1471.0,63.62,320.74,0.9006
397,-26.63312,27.771474,1471.0,64.65,316.83,0.0
398,-26.632623,27.770889,1471.0,80.22,313.54,0.0
399,-26.632115,27.770262,1468.0,84.11,312.19,-2.0427
400,-26.63136,27.769358,1468.0,122.97,313.05,0.0
401,-26.631072,27.769031,1469.0,45.63,314.57,1.2555
402,-26.630844,27.768792,1469.0,34.74,316.86,0.0
403,-26.630636,27.768615,1469.0,29.06,322.74,0.0
404,-26.630377,27.768424,1469.0,34.49,326.61,0.0
405,-26.630094,27.768256,1469.0,35.62,332.05,0.0
406,-26.629792,27.768103,1468.0,36.86,335.64,-1.5539
407,-26.629561,27.768001,1467.0,27.61,338.46,-2.0739
408,-26.628875,27.767769,1467.0,79.69,343.18,0.0
409,-26.62854,27.767703,1467.0,37.82,350.01,0.0
410,-26.628257,27.767668,1467.0,31.66,353.69,0.0
411,-26.627989,27.767655,1467.0,29.83,357.52,0.0
412,-26.627672,27.767657,1467.0,35.25,0.32,0.0
413,-26.62742,27.767684,1467.0,28.15,5.47,0.0
414,-26.627145,27.767727,1466.0,30.88,7.96,-1.855
415,-26.626809,27.767791,1465.0,37.9,9.66,-1.5114
416,-26.626416,27.76792,1465.0,45.54,16.35,0.0
417,-26.626085,27.76806,1466.0,39.35,20.71,1.4558
418,-26.625809,27.768199,1466.0,33.66,24.24,0.0
419,-26.6255,27.76839,1466.0,39.26,28.92,0.0
420,-26.625157,27.768631,1466.0,45.04,32.13,0.0
421,-26.624871,27.768878,1466.0,40.18,37.67,0.0
422,-26.62461,27.769151,1466.0,39.73,43.08,0.0
423,-26.624334,27.769463,1465.0,43.63,45.3,-1.3129
424,-26.624138,27.769741,1465.0,35.19,51.74,0.0
425,-26.623909,27.770134,1464.0,46.63,56.9,-1.2285
426,-26.623711,27.770542,1464.0,46.15,61.5,0.0
427,-26.623541,27.770934,1464.0,43.31,64.12,0.0
428,-26.623398,27.771353,1465.0,44.58,69.1,1.2849
429,-26.623277,27.771819,1466.0,48.24,73.8,1.1876
430,-26.623132,27.772416,1465.0,61.5,74.8,-0.9316
431,-26.622975,27.772937,1466.0,54.65,71.37,1.0482
432,-26.622846,27.77329,1466.0,37.91,67.77,0.0
433,-26.622613,27.773843,1466.0,60.77,64.77,0.0
434,-26.622369,27.774316,1466.0,54.29,60.01,0.0
435,-26.622032,27.774863,1467.0,66.04,55.43,0.8676
436,-26.621854,27.775113,1467.0,31.77,51.46,0.0
437,-26.621579,27.775464,1467.0,46.39,48.77,0.0
438,-26.621281,27.775809,1467.0,47.69,45.98,0.0
439,-26.62098,27.7761,1466.0,44.24,40.84,-1.2949
440,-26.620798,27.776261,1467.0,25.8,38.34,2.2196
441,-26.620621,27.776407,1467.0,24.45,36.41,0.0
442,-26.620368,27.7766,1467.0,34.05,34.29,0.0
443,-26.620228,27.776722,1467.0,19.73,37.92,0.0
444,-26.620095,27.776863,1468.0,20.38,43.46,2.8097
445,-26.619493,27.777238,1468.0,76.62,29.11,0.0
446,-26.618541,27.777815,1468.0,120.4,28.45,0.0
447,-26.617589,27.778295,1466.0,116.12,24.26,-0.9868
448,-26.616625,27.77873,1466.0,115.59,21.97,0.0
449,-26.615117,27.779397,1465.0,180.32,21.58,-0.3177
450,-26.613328,27.780165,1465.0,213.08,21.0,0.0
451,-26.611489,27.780956,1465.0,219.09,21.03,0.0
